رقم التسجيل,اسم العلامة عربي,اسم العلامة انجليزي,حالة العلامة,نوع العلامة من حيث الوصف,نوع العلامة,الفئة,اسم المالك بالعربي,اسم المالك بالانجليزي,تاريخ تسجيل العلامة,الجنسية,تاريخ بداية الحماية,وصف العلامة,تاريخ نهاية الحماية,تاريخ النشر
1444034913,-,MAC,علامة مسجلة,لفظية,علامة تجارية ,فئة 7,-,"Stanley Black & Decker, Inc.",8/1/2023 15:09,الولايات المتحدة الأمريكية,4/17/2023 9:46,كلمة ماك بحروف لاتينية باللون الاسود.,12/29/2032 9:46,5/7/2023 16:11
1444018718,-,MINIDRAW,علامة مسجلة,لفظية,علامة تجارية ,فئة 10,-,"Becton, Dickinson and Company",3/19/2023 12:34,الولايات المتحدة الأمريكية,12/15/2022 14:54,كلمة مينيدراو بحروف لاتينية باللون الاسود .,8/28/2032 14:54,1/1/2023 11:21
1444036370,-,DH,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة27,شركة الضبيبي التجارية شركة ذات مسؤولية محدودة,COMPANY AL-DABIBI AL-TAJARIA,7/18/2023 3:19,المملكة العربية السعودية ,5/3/2023 21:19,الحرفين اللاتينيين دي اتش بشكل مميز باللون الذهبي.,1/14/2033 21:19,5/7/2023 19:45
1444018076,العثيم,othaim,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة35,شركة أسواق عبدالله العثيم,-,2/16/2023 17:34,المملكة العربية السعودية ,12/12/2022 14:28,ورقة شجر باللون الأخضر الغامق والاخضر الفاتح وأسفلها كلمة العثيم بحروف عربية وعثيم بحروف لاتينية باللون الأحمر ,8/25/2032 14:28,12/18/2022 11:43
1444011096,-,YJ TOYS,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة28,-,"Shantou Yijun Toys Industry Co., Ltd.",2/14/2023 14:19,الصين,10/19/2022 16:30,"مربع باللون الأبيض بداخله حرف جيه بشكل رأس حصان وبجانبه حرف لاتيني واي باللون الرمادي بشكل مميز، وفي الأسفل عبارة واي جيه تويز بحروف لاتينية باللون الأسود.",7/1/2032 16:30,11/17/2022 14:38
1445009036,أرما ريفولى,Arma Rivoli,علامة مسجلة,لفظية,علامة تجارية ,فئة 3,شركة آرما للصابون والمنظفات ش م م,-,12/24/2023 18:20,مصر,9/19/2023 15:02,كلمتا أرما ريفولى بحروف عربية ولاتينية باللون الاسود.,6/1/2033 15:02,10/22/2023 9:05
1445003769,-,NOVA DOUGHNUTS,علامة مسجلة,لفظية,علامة تجارية ,فئة35,-,Nova Doughnuts Ltd.,11/26/2023 16:08,المملكة المتحدة,8/15/2023 12:04,عبارة نوفا دوناتس بحروف لاتينية باللون الاسود,4/28/2033 12:04,9/6/2023 14:18
1444011785,-,DATALLOY 2 ,علامة مسجلة,لفظية,علامة تجارية ,فئة6,-,Special Melted Products Limited,1/12/2023 17:04,المملكة المتحدة,10/24/2022 15:26, عبارة داتالوي 2 بحروف وارقام لاتينية ,7/6/2032 15:26,11/7/2022 17:21
1445002166,-,STEAMADEMY,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة41,شركة قدراتك التعليمية شخص واحد,-,10/26/2023 20:19,المملكة العربية السعودية ,8/2/2023 16:59,كلمة لاتينية باللون الأزرق الداكن تنطق ستيمادِمي وبجوارها شعار قبعة التعليم لونها من الأعلى أزرق متدرج إلى الأخضر ومن الاسفل ملونة باللون الاخضر والاحمر والاصفر والبنفسجي,4/15/2033 16:59,8/27/2023 18:25
1444023628,-,CERAM austria,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 1,-,Ceram Austria GmbH,8/24/2023 17:24,النمسا,1/22/2023 10:28,كلمة سيرام بحروف لاتينية مميزة أسفلها خط أفقي بجانبه كلمة أوستريا بحروف لاتينية بالالوان الأحمر والأسود,10/4/2032 10:28,6/21/2023 17:14
1444022275,-,S,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة25,سكتشرز يو. اس. ايه. انك. الامريكية,"Skechers U.S.A., Inc. II",4/11/2023 17:24,الولايات المتحدة الأمريكية,1/11/2023 18:01,شكل معين بالون الاسود بداخله حرف أس الاتيني باللون الابيض ,9/23/2032 18:01,2/5/2023 10:24
1444016463,كلام قهوة وأكثر,Klam cafe&more ,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,شركة الوصفات المختلفة التجارية,-,3/8/2023 16:09,المملكة العربية السعودية ,11/28/2022 19:07,كلمة كلام باللغتين العربية واللاتينية باللون البني الداكن وفي الاسفل عبارة قهوة واكثر باللون السماوي بحروف عربية و عبارة كافيه آند مور بحروف لاتينية باللون السماوي وبينهما شكل كوب قهوة باللون السماوي والبني الداكن. ,8/11/2032 19:07,12/21/2022 13:59
1445011678,-,YaoYao Bubble Tea,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,مؤسسة ايمن علي فهد الغيث للتجارة,-,12/23/2023 18:00,المملكة العربية السعودية ,10/8/2023 13:20,رسم وجة باندا بشكل مميز وفي الاسفل عبارة ياوياو بوبل تي باللاتينية باللون الاسود ,6/20/2033 13:20,10/19/2023 13:07
1444011066,-,ENEGRY SOURCE CO. AUTOMATE YOUR LIFE,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 9,شركة مصدر الطاقات للتجارة (شركة شخص واحد),-,1/4/2023 4:14,المملكة العربية السعودية ,10/19/2022 15:09,رسم مصباح غير مكتمل اطاره لما يشابه ارراق الشجر  بشكل مميز رسم بداخله رسم منزل يعلوها رسم صاعقه  وبجانبهم عباره اينرجي سورس كو اوتوميت يور لايف بحروف لاتينيه والعلامه ككل باللون الاخضر الغامق والفاتح  والازرق  والاصفر الغامق والجميع علي خلفيه باللون الابيض والرمادي بشكل مميز ,7/1/2032 15:09,11/2/2022 17:46
1444042412,لوسيل,LUSAIL LS,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة25,شركة نجوم الرواسي التجارية,Nujoom Al Rawasi Trading Company,11/20/2023 15:55,المملكة العربية السعودية ,6/13/2023 18:46,كلمه لوسيل بحروف عربيه ولاتينيه يعلوها رسم اطار دائري اعلاه رسم تاج يتوسطه الحرفان اللاتينيه ال اس بشكل متداخل ومميز والعلامه ككل  باللون الابيض والتركواز ,2/24/2033 18:46,8/31/2023 17:40
1444031317,-,TORIKO T,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة12,شركة طيف الوادي للتجارة,-,6/13/2023 12:29,المملكة العربية السعودية ,3/22/2023 7:20,كلمة توريكو بحروف لاتينية بخط مميز يليها رسم دائرة بداخلها الحرف اللاتيني تي والعلامة ككل باللون الاحمر والأزرق والأبيض,12/3/2032 7:20,3/27/2023 13:04
1444018098,لمى الناعمة,Lama alnnaeima,علامة مسجلة,لفظية,علامة تجارية ,فئة16,شركة ألف ياء للطباعة والتغليف والورق الصحي,-,3/7/2023 16:19,الأردن,12/12/2022 15:50,كلمتا لمى الناعمة بحروف عربية ولاتينية,8/25/2032 15:50,12/20/2022 14:07
1444024037,ساندو,Sandw,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,مطعم تكا وشيش لتقديم الوجبات,-,4/20/2023 2:19,المملكة العربية السعودية ,1/24/2023 12:32,رسم مميزه على شكل دائرة وفى داخلها كلمة ساندو باللغة العربية وباللون الاسود وتحتها كلمة ساندو باللغة اللاتينية وباللون البنفسجي,10/7/2032 12:32,2/13/2023 10:19
1444027197,-,NAMMOS,علامة مسجلة,لفظية,علامة تجارية ,فئة43,-,NAMMOS WORLD SARL,5/18/2023 15:49,موناكو,2/16/2023 15:39,كلمة ناموس بحروف لاتينية ,10/30/2032 15:39,3/16/2023 12:10
1444021013,-,ald,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة34,كيتنج للتجارة ش.م.ح,-,5/17/2023 0:04,الإمارات العربية المتحدة,1/2/2023 12:08,كلمة ألد بحروف لاتينية بطريقة مميزة اعلاها شكل مميز والكل بالالوان الأسود والأصفر والأبيض,9/14/2032 12:08,2/15/2023 18:31
1444014340,-,GUNZE MEDICAL,علامة مسجلة,لفظية,علامة تجارية ,فئة 10,-,GUNZE LIMITED,1/18/2023 14:24,اليابان,11/13/2022 14:39,كلمتا جَنز ميديكال بحروف لاتينية,7/27/2032 14:39,11/16/2022 16:23
1444032055,شاي ناتاي,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة30,مؤسسة الشاي المختار لتقديم المشروبات,-,7/18/2023 3:04,المملكة العربية السعودية ,3/27/2023 3:21,عباره شاي ناتاي بحروف عربيه  بشكل مميز  يحيط به رسم حركات تشكيليه اسفلهم رسم خط افقي والعلامه  ككل باللون الازرق والاصفر ,12/8/2032 3:21,5/6/2023 16:50
1444043162,-,Mr. Pin Advanced Microneedling Technology,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 10,محمد محمد عبدالحليم فليفل,-,10/1/2023 16:07,مصر,6/19/2023 15:12,"خلفية بيضاء تحتوي على شعار يتكون من عبارة مستر بن مكتوبة بحروف لاتينية باللون الأسود بخط كبير وعريض ويفصل بين كلمتيها نقطة سوداء اللون، يليها رسم لإبرة طبية مميزة الشكل على شكل قلم باللونين الأبيض والأسود، أسفلها عبارة أدفانسد مايكونيديلينج تكنولوجي مكتوبة بحروف لاتينية باللون الأسود بخط صغير وبجانبها مجموعة نقاط متراصة تشكل معاً شكل مستطيل باللون الأسود.",3/2/2033 15:12,7/31/2023 18:55
1444031097,-,DIAMOND CARE,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة37,مركز الرعاية الماسية لصيانة السيارات,-,6/3/2023 2:52,المملكة العربية السعودية ,3/19/2023 13:47,كلمة دايموند باللغة باللاتينية وباللون الرمادي المتدرج واسفل منها كلمة كير باللغة اللاتينية باللون الاسود ويحدهم من اليسار شكل هندسي على هيئة ماسة ويعلو الشكل ثلاث نجوم وكلا من الشكل والنجوم باللون الاحمر,11/30/2032 13:47,3/27/2023 14:34
1444045894,-,CHOCOFRETA,علامة مسجلة,لفظية,علامة تجارية ,فئة30,-,"ION SOCIETE ANONYME, COCOA & CHOCOLATE MANUFACTURERS",10/18/2023 16:50,اليونان,7/13/2023 9:25,كلمة شوكوفريتا بحروف لاتينية باللون الاسود,3/26/2033 9:25,8/6/2023 11:01
1444046361,-,LUCKYCUP,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة35,-,"MIXUEBINGCHENG Co., Ltd.",11/19/2023 12:44,الصين,7/17/2023 11:29,كلمة لاكيكب بحروف لاتينية بشكل مميز اعلاها رسم إطار دائري بداخله رسم تجريدي لراس رجل يرتدي تاج ونظارة والعلامة باللون الابيض والاسود والرمادي,3/30/2033 11:29,9/20/2023 11:23
1444028891,هام بترولي ,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 4,شركة غاليه سالم مرضي العديني للوقود شركة شخص واحد,-,5/22/2023 5:04,المملكة العربية السعودية ,3/2/2023 0:58,عبارة هام بترولي بحروف عربية باللون الاخضر و على الجانب ثلاثة خطوط منحنية بالالوان الأصفر و الأحمر والأخضر.,11/13/2032 0:58,3/21/2023 21:59
1444023681,شركة الجميرا للتجارة,JUMAIRAH TRADING COMPANY,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة28,شركة الجميرا للتجارة شركة شخص واحد,-,4/5/2023 22:35,المملكة العربية السعودية ,1/22/2023 12:54,عباره شركة الجميرا للتجارة بحروف عربيه واسفلها عباره جميرا تريدنج كومبانى بحروف لاتينيه باللون الازرق واعلاها شكل قوس باللون الازرق واعلاه نقطة باللون الاحمر,10/4/2032 12:54,1/30/2023 14:50
1444012041,هرم الحمام,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,عبدالخالق احمد عبدالغني  القاضي,-,1/7/2023 16:54,المملكة العربية السعودية ,10/25/2022 23:26,عباره هرم الحمام بحروف عربيه وبشكل مميز يعلوها رسم هندسي مميز يتوسطه رسم طائر والعلامه ككل باللون الذهبي والابيض والاسود ,7/7/2032 23:26,11/8/2022 16:07
1444030225,زهى جراند ,zuha grand ,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,شركة زهى الفندقية شركة شخص واحد,-,6/7/2023 11:20,المملكة العربية السعودية ,3/13/2023 11:08,كلمة زهى جراند باللغة العربية و اللاتينية زهى جراند مع رسم بشكل قوس باللون الاسود و الأزرق و نقطة زرقاء بجانب كلمة زهى .,11/24/2032 11:08,4/7/2023 21:54
1442039797,أتمار,Atmar,علامة مسجلة,لفظية,علامة تجارية ,فئة30,شركة مصنع الجزيرة للتمور والاغذية,-,4/6/2023 20:14,المملكة العربية السعودية ,8/8/2021 0:56,كلمة أتمار بحروف عربية ولاتينية كما بالشكل الموضح.,4/21/2031 0:56,2/5/2023 13:49
1444023303,-,Samsung G.nusmas,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة37,-,"SAMSUNG ELECTRONICS CO., LTD.",4/30/2023 15:44,كوريا الجنوبية,1/18/2023 15:39,رسم كاريكاتوري لما يشبه كائن فضائي بشكل خاص يعلوه عبارة سامسونج جي نوسماس بحروف لاتينية يتخللها نقطة والعلامة بالألوان الأزرق الفاتح والداكن بتدرجاتهما والوردي والأبيض والأسود,9/30/2032 15:39,2/15/2023 9:21
1444022527,ثلجة,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة43,مؤسسة ثلجة لتقديم المشروبات,-,4/2/2023 12:50,المملكة العربية السعودية ,1/14/2023 19:02,كلمه ثلجة بحروف عربيه بشكل  مميز باللون الازرق الفاتح على خلفيه باللون البنفسجي ,9/26/2032 19:02,1/24/2023 12:40
1444024133,مياه الرضا ,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة32,الجمعية التعاونية متعددة الاغراض رضا ,Reda Multipurpose Cooperative Society,4/11/2023 2:44,المملكة العربية السعودية ,1/24/2023 15:54," بطاقة كتب بداخلها باللون الازرق كلمة (مياه)بخط صغير ، ووسطها كلمة الرضا بشكل مميز وباللون الازرق وحرف الراء في كلمة الرضا يشير الى قطرات مياه ونقطة حرف الضا تشير الى قطرة مياه .",10/7/2032 15:54,2/9/2023 13:49
1444027259,تركيبه النخبه,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 3,خالد عبيد محمد القحطاني,-,6/16/2023 1:39,المملكة العربية السعودية ,2/17/2023 0:54,رسم زجاجة عطر بداخلها زخارف هندسية اسفلها عبارة تركيبه النخبه بحروف عربية مكتوبة بشكل متقطع باللون الذهبي على خلفية باللون الأسود.,10/31/2032 0:54,4/12/2023 16:02
1444036486,-,ebes steel production,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة6,شركة اي بيس لمنتجات الحديد شخص واحد,-,10/4/2023 22:24,المملكة العربية السعودية ,5/4/2023 13:22,عبارة ايبيس باللون  الرصاصي واسفلها ستيل برودكشن باللون الاصفر الباهت مكتوبة بالاحرف اللاتينية مع وجود رسمة صينية باللون الاصفر المشع داخل حرف البي في رموز صينية.,1/15/2033 13:22,7/17/2023 16:29
1444040062,-,T.S.C,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة6,شركة حلول التدوير للتجارة,-,10/3/2023 18:29,المملكة العربية السعودية ,5/29/2023 16:25,اسم العلامة مكتوب باللغة اللاتينية ( تي . اس . سي ) باللون الاخضر وبخط كبير عريض ويعلوها شكل دائري بمزيج من اللوان الاخضر والازراق وبداخلها شكل سهمين باللون الابيض على هيئة رمز اعادة تدوير والعلامة بالكامل مكتوبة على خلفية باللوان الابيض,2/9/2033 16:25,8/1/2023 14:35
1444023167,ابن عباد ابن ,-,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة30,مؤسسة حسن احمد محمدعيد المحمدي للتجارة,-,4/22/2023 23:04,المملكة العربية السعودية ,1/18/2023 9:50,عباره ابن عباد  بحروف عربيه يعلوها كلمه ابن بحروف عربيه بشكل مميز وهندسي يتوسطه رسم سنبله  والعلامه ككل باللون البني المتدرج على خلفيه باللون الرمادي المتموج ,9/30/2032 9:50,2/13/2023 11:19
1444024404,-,PENTA,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة 9,-,NOVARC,5/9/2023 20:19,فرنسا,1/26/2023 12:33,كلمة بينتا برحوف لاتيينة يليها رسم لمضلعات متداخلة والعلامة باللونين الأزرق والبرتقالي. ,10/9/2032 12:33,3/5/2023 16:01
1444018946,شركة تطوير البلد,AL BALAD DEVELOPMENT COMPANY ,علامة مسجلة,تصويرية لفظية,علامة تجارية ,فئة41,شركة تطوير البلد شركة شخص واحد مساهمة مقفلة,-,2/19/2023 3:04,المملكة العربية السعودية ,12/18/2022 14:04,تتكون العلامة من كلمة البلد ديفلوبمينت كومباني بحروف لاتينية باللون الأسود وفوقها كلمة شركة تطوير البلد بحروف عربية باللون الاسود وباعلاها صورة منزل تاريخي بثلاث طوابق على طراز منازل جدة التاريخية باللون الاسود.,8/31/2032 14:04,12/20/2022 14:16
