Periodicity;Year;Quarter;Month;Indicator;Value in Different Units;Date;Date_Object
Quarterly;2017;Q2;;Total POS :  Number of Points of Sale Terminals;301363.0;Q2 2017;2017-04-01
Quarterly;2017;Q3;;Total POS :  Number of Points of Sale Terminals;297447.0;Q3 2017;2017-07-01
Quarterly;2021;Q2;;Total POS :  Number of Points of Sale Terminals;848358.0;Q2 2021;2021-04-01
Quarterly;2021;Q4;;Total POS :  Number of Points of Sale Terminals;1013233.0;Q4 2021;2021-10-01
Quarterly;2022;Q3;;Total POS :  Number of Points of Sale Terminals;1323560.0;Q3 2022;2022-07-01
Quarterly;2023;Q3;;Total POS :  Number of Points of Sale Terminals;1691163.0;Q3 2023;2023-07-01
Quarterly;2024;Q3;;Total POS :  Number of Points of Sale Terminals;1895058.0;Q3 2024;2024-07-01
Quarterly;2019;Q3;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;29486112.0;Q3 2019;2019-07-01
Quarterly;2020;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;83616069.0;Q1 2020;2020-01-01
Quarterly;2020;Q2;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;93228348.0;Q2 2020;2020-04-01
Quarterly;2021;Q2;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;400154012.0;Q2 2021;2021-04-01
Quarterly;2022;Q2;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;706148420.0;Q2 2022;2022-04-01
Quarterly;2025;Q4;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Mobile Transactions;1679010515.0;Q4 2025;2025-10-01
Quarterly;2020;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;346178770.0;Q1 2020;2020-01-01
Quarterly;2021;Q2;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;741486823.0;Q2 2021;2021-04-01
Quarterly;2021;Q4;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;876324440.0;Q4 2021;2021-10-01
Quarterly;2023;Q1;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;1065974876.0;Q1 2023;2023-01-01
Quarterly;2023;Q3;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;1172405085.0;Q3 2023;2023-07-01
Quarterly;2024;Q3;;POS Transactions Using Near Field Communication Technology : Number of Transactions :  Cards Transactions;1154788551.0;Q3 2024;2024-07-01
Quarterly;2019;Q4;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;4847739.769;Q4 2019;2019-10-01
Quarterly;2021;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;34429302.9102744;Q3 2021;2021-07-01
Quarterly;2023;Q3;;POS Transactions Using Near Field Communication Technology : Sales (In Thousand Riyals) :  Sales Using Mobile;56058793.3225304;Q3 2023;2023-07-01
