م,اسم شركة القطاع الخاص في المملكة بالعربي ,اسم شركة القطاع الخاص في المملكة بالإنجليزي
51,كلية سعد للتمريض والعلوم الصحية ,Saad College of nursing and allied health science in Khobar
52,جامعة سليمان الراجحي بالقصيم,Suliman Al Rajhi University in Qassim
53,كلية عنيزة للهندسة وتقنية المعلومات,Unaizah college of Information Engineering
54,كلية عنيزة للدراسات الإنسانية والإدارية,Unayzah college of humanities studies
55,جامعة الأعمال والتكنولوجيا,University of Business & Technology in Jeddah
56,كليات الرؤية لطب الأسنان والتمريض,Vision College of Dental and Nursing in Riyadh
57,كليات الرؤية للطب البشري ,Vision College of Human Medicine in Riyadh
58,كلية الرؤية الطبية بجدة ,Vision Colleges of Dental and Nursing in Jeddah
59,شركة التخصصي العامة,Al-Takassusi General Limited Company
60,شركة نادي العلا,Alula Club Company
61,نادي الصقور,Falcon Club
62,شركة مستشفى الملك فيصل التخصصي الدولية القابضة,King faisal Specialist International Holding Company
63,الشركة السعودية للتشخيص,Saudi Diagnostic Limited CO
64,اكسس بريدج فينتريس ,Access Bridge Venture
65,شركة انتلر العربية لحاضنات ومسرعات الاعمال,Antler (Antler MENAP I)
66,ارامكو فينتشرز,Aramco Ventures
67,أرزان في سي لإدارة المشاريع,Arzan VC
68,بيكو كابيتال انفسمنت ماناجيمنت ,BECO capital
69,منجم الأعمال للتطوير والاستثمار ,BIM Ventures
70,شركة الهالة الرائدة التجارية شخص واحد,CyberMe  Studio
71,دراية فنتشرز,Derayah Venture
72,شركة همة الريادة المحدودة شركة شخص واحد ,Endeavor Catalyst
73,شركة اي دبليو تي بي العربية للاستشارات ,Ewpartners
74,شركة فيث كابيتال القابضة,Faith Capital
75,فلك للأعمال والاستثمار ,Falak Investment Hub
76,شركة فلات سيكس لابز العربية للاستشارات الادارية ,Flat6labs
77,شركة قرافين فنتشرز السعودية لخدمات الاعمال ,Graphene Ventures
78,شركة هلا الشرقية المالية ,Hala Venture
79,شركة ريادة الأداء لحاضنات ومسرعات الأعمال,Riaydat Al Adaa Company for Incubators and Accelerators (I-be hub)
80,شركة تأثير المالية,Impact46
81,شركة انفستكورب السعودية للإستثمارات المالية,Investcorp Saudi Arabia Financial Investment Company
82,جوا المالية ,JOA Capital 
83,خوارزمي القابضة ,Khwarizmi Ventures
84,ميدل ايست فينتشر بارتنرز ليمتد.,Middle East Venture Partners (MEVP)
85,شركة ام اس أي تشاينا فند السعودية الإدارية ,MSA Capital
86,شركة نما فنتشرز المالية,Nama Ventures
87,عقال,Oqal Angel Network
88,ساليكا است ماناجمنت ليمتيد,Salica Asset Management Limited  
89,صندوق اوتلايرز فنتشر كابيتال,Outliers VC
90,رائد فنتشرز,Raed Ventures
91,شركة رؤى النمو الأولى لتقنية المعلومات شركة شخص واحد ,RuaGrowth Fund
92,شركة سنابل فينتشر ستوديو لحلول الاعمال شخص واحد,Sanabil Investments
93,شركة سدرة المالية ,Seedra Ventures
94,شركة شروق لخدمات الاعمال شركة شحص واحد ,Shorooq Partners
95,الوادي الرقمي لخدمات الاعمال,STV
96,صندوق سكنى فنشرز ١ إل بي / سكنى كابيتال,Sukna Ventures
97,شركة الاستثمارات التقنية ,Tech Invest Com
98,شركة تيكستارز العربية التجارية,techstars
99,فيجن فنتشرز,Vision Ventures
100, شركة إرنست ويونغ للخدمات المهنية (مهنية ذات مسؤولية محدودة), Ernst & Young Professional Services (Professional LLC)
101,فرع إل تي آي مايندتري المحدودة , LTI Mindtree limited
102,شركة عقلانيات للتقنية ,Aklaniat Technologies Company
103,شركة نوفارتس السعودية شركة شخص واحد,NovartisSaudi Arabia
104,المعهد السعودي التقني للتعدين ,Saudi Mining Polytechnic
105,شركة هيل انتر ناشیونال  میدل ایست لیمتد,_
106,فرع شركة دار الهندسة للتصميم والاستشارات الفنية شاعر ومشاركوه,_
107,شركة شنايدر الكتريك سيستمس العربية السعودية المحدودة,Schneider Electric Systems Saudi Arabia
108, فرع شركة شابورجي بالونجي ميد أيست,_
109,شركة غرونوبل بارتنرز السعودية لخدمات الأعمال عمال شركة شخص واحد,Gronoble Partners Al Saudiyah Business Services Company
110,شركة مجموعة أبانا للمشاريع,"ABANA Enterprises Group Co,"
111,شركة إيه بي بي للصناعات الكهربائية المحدودة,ABB electrical industries co. ltd
112,شركة ابار واولاده الغذائية المحدودة,Abbar and sons food co.ltd
113,شركة أبدال للموارد البشرية ,ABDAL COMPANY FOR HUMAN RESOURCES
114,شركة عبداللطيف جميل المتحدة للتمويل ,Abdul Latif Jameel United Finance Company
115,شركة عبدالرحمن سعد واولاده القابضة,Abdul rahman Saad Alrashid & Sons holding co
116,شركة عبداللطيف جميل للتطوير التجاري,Abdula Latif Jameel Commercial Development Company Limited
117,شركة أبناء عبدالعزيز العجلان للاستثمار التجاري والعقاري عجلان واخوانه,Abdulaziz Alajlan Sons For Trading & Real Estate Investment Co.
118,شركة عبدالعزيز الجاسر التجارية القابضة,Abdulaziz Al-Jasser Commercial company holding
119,‏شركة عبدالله فؤاد المساهمة,Abdulla Fouad Group
120,شركة عبد الله عبد العزيز الراجحي وأولاده القابضة,Abdullah Abdulaziz Al Rajhi & Sons Holding Co.
121,شركة عبدالله ابو نيان التجارية,ABDULLAH ABUNAYYAN TRADING CO
122,شركة أبناء عبدالله العلي المنجم,Abdullah Ali Almunajem Sons Co
123,شركة عبدالله فؤاد للوازم والخدمات الطبية شركة شخص واحد مساهمة,Abdullah Fouad medical supplies
124,شركة عبدالله ابراهيم محمد السبيعي ايمز القابصة ,Abdullah I. Al Subaeei Holding Company 
125,شركة أبناء عبدالله إبراهيم الخريف,Abdullah Ibrahim Al Khorayef sons co.
126,شركة عبدالمحسن التميمي للمقاولات ,Abdulmohsen Altamimi Contracting Company 
127,شركة عابد على الحبشي للمقاولات,ABED ALI ALHABASHI CONTRACTING COMPANY
128,شركة ابسل جون بول للمقاولات,Absalpaul Contracting Co. 
129,شركة إيه بي في روك جروب المحدودة,ABV rock group ltd
130,شركة اكسينتشر السعودية ,Accenture Saudi Arabia Limited
131,شركة آد الترابط لإقامة وتنظيم المعارض والمؤتمرات,Add Enterprises Limited for Exhibitions 
132,شركة أدنوك الخليج للتوزيع المحدودة,Adnoc Distribution Gulf LLC
133,شركة أنظمة الاتصالات والالكترونيات المتقدمة,Advanced Communications & Electronics Systems Co.
134,شركة الحلول الفنية المتطورة للصناعة,Advanced Technical Solutions Company for Industry
135,شركة افاق كیوتیك للتجارة العامة ,Afaq Q tech for Trading
136,شركة عافية العالمية,Afia International Company
137,مصنع شركة عافية العالمية,Afia International Company Factory
138,شركة عفرينا للإنشاء والتطوير العمراني,Afrina for Construction and Urban Development
139,شركة اجيليتي للمجمعات اللوجستية (SILZ) ذ.م.م ,Agility Logistics Parks (SILZ) LLC
140,شركة عهد لخدمات الاعمال,Ahad Business Services
141,شركة أحمد عبدالله حمد العيسى,Ahmed Abdullah Hamad Alessa Company
142,شركة أيك للإستثمار,AIK Investment Company
143,شركة ايربرودكتس الشرق الأوسط للغازات الصناعية ,Air Products Middle East industrial gases
144,شركة ايرباص السعودية المحدودة ,Airbus Saudi Arabia Limited
145,شركة أجل للخدمات التمويلية,AJIL Financial Services Company
146,شركة مجموعة العجو للتجارة,Al- Ajou Group Trading Company
147,شركة مركز الأركان المتخصصة للتدريب,Al Arkkan Specialized Training center co.
148,شركة العوالي العقارية - شركة مساهمة مقفلة,Al Awaly Real Estate Development Co
149,شركة البرج للمختبرات الطبية,Al Borg Medical Laboratories Company
150,شركة البستان المحدودة ,Al bustan company limited
151,شركة الإعتصام الخليجي للتجاره,AL EATISAM ALKHALIJI TRADING COMPANY
152,شركة الجهاز للمقاولات ,Al Gihaz Contracting
153,شركة الحاسوب للتجارة,Al Hasoob Trading co
154,شركة الهيثم للتعدين ,Al Haytham Mining Company 
155,شركة الحوطي المحدودة,AL HOTY CO LTD
156,شركة الاتفاق للصناعات الحديدية ,Al Ittefaq Steel Products Company 
157,شركة مصانع الجزيره للمنتجات الفولاذيه   ,AL jazera Factories For Steel Products Co. Ltd
158,الشركة الخماسية العالمية للتطوير العقاري,Al Khomasiah International Real Estate
159,شركة المنصوري للخدمات البترولية المحدودة,Al Mansoori petroleum Services Co. LTD
160,شركة مركز المرجان الطبية,Al Murjan Medical Center Co. Ltd
161,شركة الربيع السعودية للأغذية,Al Rabie Saudi Foods Cc.
162,شركة الراشد للأسمنت ,Al Rashed Cement Company 
163,شركة الصافي دانون المحدودة,Al Safi Danone Company limited 
164,شركة ال سيف للتشغيل والصيانة  ,AlSeif for operation and maintenance Co
165,الشريف للمقاولات والتنمية التجارية شركة ذات مسؤولية محدودة,Al sharif contracting & commercial development co. ltd.
166,شركة السليمان للإستثمار القابضة,Al Sulaiman Investment Holding Company
167,مجموعة الوطن الطبية,Al Wattan Medical Group
168,شركة اليمامة للأعمال التجارية والمقاولات,Al Yamamah Company for Trading and Contracting
169,شركة اليسر للإجارة والتمويل ,Al Yusr
170,شركة الأمين الطبيه المحدودة,"Alameen Medical Company, Limited"
171,شركة الانظمة والحلول المتطورة للاتصالات,Al-anzama wa al-halloul matoutoura lazalat
172,شركة بيوت الآرجان,Alargan Homes Company
173,شركة العيوني للتجارة والمقاولات,Al-Ayuni Investment & Contracting Company 
174,شركة البابطين ليبلانك لانظمة الاتصلات شركة شخص واحد,Albabtain Leblanc Telecommunication Systems LTD
175,شركة البداهة للصناعات الحديثة المحدودة,Albadaha company for modern industries ltd
176,شركة مجموعة أعمال البسامي الدولية,Albassami international Group
177,شركة ألف ميم ياء للمعدات والأجهزة الطبية ,Alf Meem Yaa For Medical Supplies Co
178,شركة ألفا لخدمات التشغيل ,AlfaCo for Operation Services
179,شركة إسكان حقل الفاضلي للتطوير العقاري,Alfadhili Housing For Real Estate Development Company
180,شركة الفيصل للصناعات الحديدية,Al-Faisal Steel Products Company
181,شركة الفيصلية للأنظمة الطبية ,Alfaisaliah Medical Systems
182,شركة الفنار,Alfanar Company
183,شركة الحمراني العالمية شركة مساهمة قابضة,AL-HAMRANI UNIVERSAL JOINT STOCK HOLDING COMPANY
184,شركة الهاشمية للمقاولات,Al-Hashemiah Contracting Co
185,شركة مجمع أكادمية الحقيل الطبي الرقمي التخصصي,Al-hokail Academy Specialized Digital Policlinics
186,شركة الإنماء للخدمات الطبية المحدودة,Al-Inma Medical Services Company Limited
187,شركة أسواق الجزيرة ,Aljazera Markets
188,شركة الجزيرة لتأجير السيارات,Aljazirah rent a car
189,شركة توكيلات الجزيرة للسيارات ,Aljazirah Vehicles Agencies
190,شركة الجيل الطبية والتجارية,Aljeel medical & trading company
191,شركة الكوثر للتصنيع المحدودة,Alkawther industries co ltd
192,شركة الخليج للكمبيوتر والمعدات الالكترونية,Alkhaleej Computers & Electronic Systems
193,شركة الخريف للبترول,Alkhorayef Petroleum Company
194,الكفاح لمعدات البناء ,AL-Kifah Construction Equipment
195,شركة الكفاح للخرسانة المسبقة الصنع,Alkifah Precast Company
196,شركة الكحيمي للأنظمة الإلكترونية المتقدمة,AlKuhaimi Advanced Electronic Systems
197,شركة مجموعة المجال العربي ,almajal alarabi holding 
198,شركة المهذل للمقاولات العامة ,Al-mehthel general contracting company
199,شركة المعلم القابضة ,Almoallem holding company
200,شركة المدن العربية المحدودة,Almodon Alarabia Holding Co. Ltd
201,شركة المعجل للتجارة والمقاولات مساهمة سعودية مقفلة,Almojel Trading & Contracting Saudi closed joint stock
202,شركة المقر للتطوير والتنمية,ALMQR Development CO.
203,شركة مجموعة المرجان القابضة المحدودة ,Almurjan Group Holding co
204,شركة المصباح للإستثمار القابضة ,Al-Musbah Investment Holding Co
205,شركة المطلق للإستثمار العقاري  (اريك),almutlaq Real Estate Investment Company
206,شركة النافذة الدولية لتقنية المعلومات,Alnafitha International for Information Technology
207,شركة النقيب الرائدة المحدودة,ALNAQEEB PIONEER CO. LTD
208,شركة الأومير للتجارة والمقاولات ,Alomaier Trading and Contracting Company
209,شركة الفا للاستثمار شركة شخص واحد,ALPHA INVESTMENT COMPANY
210,شركة اتحاد الراجحي العقارية,Al-Rajhi United Real-estate Company
211,"شركة الراية للمواد الغذائية
(أسواق التميمي)","AL-RAYA FOOD STUFF COMPANY 
( ALTamimi Markets Company)"
212,شركة الرومانسية ,Alromansiah Joint Stock Company
213,شركة السحاب الوطنية,Alsahab National Company
214,شركة الشلوي العالمية للتجارة والمقاولات,Al-SHALAWI INTERNATIONAL Company For Trading and Contracting
215,شركة  ألستوم ترانسبورت اس ايه,ALSTOM TRANSPORT SA
216,شركة الحلول البديلة للطاقة المحدودة,Altaaqa Alternative Solution Co. Ltd
217,شركة التحالف العقاري ,Al-Tahaluf Real Estate Company 
218,شركة المكاتب التنفيذية شركة شخص واحد,ALTANFEETHI
219,الشركة العالمية للألمنيوم,Aluminum international company
220,"شركة منتجات الألمنيوم ""الوبكو"" شركة مساهمة سعودية",ALUPCO
221, شركة الوافي التكامل الدولية للمواد الغذائية المحدودة ,Alwafi Altakamul International for Food products LTD
222,شركة أماديوس العربية السعودية المحدودة,AMADEUS SAUDI ARABIA Ltd
223,شركة اميك فوستر ويلر انيرجي و شركائها الهندسية,Amec foster wheeler energy & partners engineering
224,شركة امجن السعودية المحدودة تابعة لامجن الشرق الاوسط وافريقيا,Amgen Saudi limited
225,شركة أنفاس الراحة الطبية,Anfas medical care hospital
226,شركة ابتك السعودية العربية,Aptec Saudi Arabia
227,الشركة العربية للخدمات الزراعية مجموعة اراسكو,"Arab Agriulture Service Company , Arasco"
228,الشركة العربية للمختبرات و التربة ,Arab Company For Laboratories
229,الشركة العربية للمستحضرات الدوائية شركة مساهمة مختلطة مقفلة ,Arab Company for Pharmaceutical Products
230,شركة حاسبات العرب ,Arab Computers Company 
231,الشركة العربية للإستثمارات البترولية ابيكورب,Arab Petroleum Investments Corporation ARICORP
232,الشركة العربية للتموين ,Arab Supply Trading Company ( ASTRA)
233,شركة العربية للاسماك,Arabian Fisheries Company
234,الشركة العربية للجيوفيزياء والمساحة أركاس,Arabian Geophysical & Surveying Company
235,الشركة العربية للانشاءات الحديدية,Arabian international company for steel structure
236,الشركة العربية لتصنيع المنتجات الطبية عنايه,Arabian Medical Products Manufacturing ENAYAH
237,شركة المطاحن العربية للمنتجات الغذائية,Arabian Mills for food products
238, شركة ابسكو,Arabian Petroleum supply company (APSCO)
239,شركة التموين العربي التجارية المحدودة,Arabian Trading Supplies Company 
240,الشركة العربية للمحولات,Arabian Transformers
241,شركة اركو للموارد البشرية,Arco Human Resources Company
242,شركة أرلا للأغذية المحدودة,Aria foods LTD
243,شركة مستودع اركان الطبية للتجارة,Arkan Medical Warehouse trade Co
244,شركة أرثر دلتل العربية السعودية,Arthur D Little Saudi Arabia
245,شركة أسند للحلول المحدودة ,Ascend Solution Company Limited
246,شركة مجمع أسترا الصناعي المحدودة للأسمدة والمبيدات الزراعية المحدودة,Astra Complex Co. Ltd for fertilizer and Agrochemicals
247,شركة استرا الانشاءات المحدودة شركة شخص واحد,Astra construction company ltd
248,شركة أسترا لمركبات اللدائن المحدودة,Astra Polymer Compounding Company
249,شركة اسياد القابضة ذات مسؤولية محدودة,Asyad Holding LLC
250,شركة العوجان للمرطبات,Aujan Beverages Company
251,شركة أفينت الشرق الأوسط الصناعية المحدودة,Avient Middle East Industries Company
252,شركة محور الفحص للمقاولات شركة مساهمة سعودية مقفلة ,Axis inspection contracting Jsc
253,شركة عزم السعودية للأتصالات و تقنية المعلومات,AZM 
254,الشركة البريطانية للطيران والفضاء بي ايه اي سيستمز بي ال سي,BAE systems PLC
255,شركة بي ايه سيستمز السعودية المحدودة,BAE systems saudi arabia limited
256,شركة بيكر هيوز العربية السعودية للتشغيل والصيانة المحدودة,Baker Hughes Saudi Arabia Operations and Maintenance
257,شركة برق النظم الخدمات التقنية التجارية,Barq Systems Company for commercial technology
258,شركة براق المالية ,Barraq Finance Company
259,شركة بوان للصناعات الخشبية شركة مساهمة مبسطة,Bawwan wood indust. Co
260,شركة باير العربية السعودية,Bayer Saudi Arabia
261,شركة بازي للتجارة والمقاولات المحدودة,Bazy Trading & Contracting co. ltd
262,فرع شركة بي سي سي لوجيستكس للشحن,BCC logistics branch co
263,بي اي سي العربية للمقاولات ,BEC Arabia Contracting
264,شركة مجموعة بن شيهون المحدودة,Binshihon Group Co Ltd
265,شركة بن زقر كورو المحدودة,Binzagr coro ltd.
266,شركة بن زقر يونيليفر المحدودة,Binzagr unilever limited
267,بايوجين العربية المحدودة,Biogen Arabia limited
268,شركة طرفة الابداع لاقامة وتنظيم المعارض,Blink experience
269,بوسطن كونسلتينغ جروب انترناشيونال انك,Boston Consulting Group International Inc
270,شركة بوستن اونكولجي العربية المحدودة ,Boston Oncology Arabia Limited
271,فرع شركة امازون ويب سيرفيسيز إميا أس ايه ار أل,Branch of Amazon Web Services EMEA SARL
272,فرع شركة كوجيلكس,Branch of Cogelex Co.
273,فرع شركة اريكسون ايه بي ,Branch of Company Ericsson AB
274,فرع شركة هيتاشي ريل اس تي اس,Branch of Hitachi Rail STS
275,فرع شركة جونيبر نتوركس بي في,Branch of Juniper Networks B.V
276,فرع المؤسسة الوطنية للقوى الكهربائية المحدودة,Branch of National Power Construction Corp. Ltd
277,شركة برنتاق العربية السعودية المحدودة,Brenntag Saudi Arabia LTD
278,شركة الاسلاك المشعة للمقاولات والتجارة,Bright wires company for contracting & trading
279,شركة بقشان للاستثمار المحدودة,Bugshan investment company limited
280,شركة التعمير و الانشاء المحدودة,Building construction company
281,شركة بروها بولد وشريكها للإستشارات الهندسية,BURO HAPPOLD & PARTNER FOR ENGINEERING CONSULTANCY CO.
282,شركة أبحاث وتطوير الأعمال التجارية,Business Research and development company
283,شركة مجمع المركز الكندي الطبي العام,Canadian general medical center complex company
284,شركة  مترو العاصمة,capital metro company
285,شركة سي اتش تو ام السعودية المحدودة,CH2M Saudi Limited
286,شركة شلهوب العربية للخدمات (SILZ) ذ.م.م,CHALHOUB ARABIA FOR SERVICES (SILZ) LLC
287,شركة شري للتجارة,Cherry trading company
288,فرع الشركة الصينية  لانشاءات السكك الحديدية السعودية المحدودة ,China Railway Construction Corporation International Limited  saudi branch
289,شركة سيسكو العربية السعودية المحدودة,Cisco Saudi Arabia ltd
290,شركة سيسكو السعودية العربية سابورت المحدودة,Cisco Saudi Arabia Support Limited
291,سي-جي أي سي إم للخدمات اللوجستية (SILZ) ذ.م.م,CJ-ICM Logistics Services (SILZ) LLC
292,سي-جي اللوجستية (SILZ) ذ.م.م,CJ-Logistics (SILZ) LLC
293,شركة كليات التميز,Colleges of Excellence
294,شركة الحلول للغاز,Company Al-Halloul for Gas
295,شركة الرعاية المستقبلية التجارية,Company AL-RAYYA ALMUSTAGBALIA AL-TAJARIYYA
296,شركة اندلسية العربية للخدمات الطبية,Company andelisia al-arabia for medical services
297,شركة أساس مكين للتطوير والاستثمار العقاري ,Company Assas Makeen for real estate development & investment
298,شركة باليش وندر ستديو للترفية شركة شخص واحد,Company Balich Wonder Studio For Entertainment
299,شركة بدائع البردي للأدوات المدرسية المحدودة,Company Charka Badai Al-Bardi Laladouat Madrisia Mahdouda
300,شركة إنجي القابضة ,Company ENGIE holding
301,شركة مستشفى الرعاية التخصصية,Company Mescevi Alraya Al takhsasiya
302,شركة مفيد,COMPANY MOFEED
303,شركة نايس ون بيوتي للتسويق الإلكتروني,Company Nice Wen Piotti letsoyq Alzitrouni
304,شركة سولزر السعودي للمضحات المحدودة,Company Sulzer AI Saudi Pump Ltd
305,شركة اتحاد المقاولين ,Consolidated Contractors Company
306,شركة كونسولوم السعودية ش ش و شركة شخص واحد,Consulum KSA SPC.
307,كمنز العربية المحدودة,Cummins Saudi Arabia ltd
308,شركة دي جي جونز وشركاه السعودية,D. G. JONES AND PARTNERS SAUDI ARABIA
309,شركة دايكن لتكييف الهواء العربية السعودية,Daikin air conditioning saudi arabia
310,شركة دله العقارية ,Dallah Real Estate
311,دار الأركان العقارية,Dar Al Arkan Real Estate Development Company
312,شركة دار الدراسات العمرانية,Dar Al -Dersat Al-Omrania Co
313,شركة دار الماجد العقارية مساهمة مقفلة ( الماجدية ريزدنس),Dar Al Majed Real Esrate (Almajdiad Residence) 
314,شركة دار الرياض,Dar Al Riyadh Holding Company 
315,شركة دار التمليك ,Dar Al tamleek Company 
316,شركة دار اليوم القابضة,Dar Alyaum Holding Company
317,شركة دار واعمار للإستثمار والتطوير العقاري,Dar Wa Emaar Real Estate Investment & Development Company
318,دريم هاك العربية الرياضية شركة شخص واحد,Darim hack al-Arabia sport one partner
319,الشركة العربية لخدمات البيانات الحدودة,Data Services Saudi Arabia Limited
320,دايم لتأجير المعدات,Dayim Equipment Rental
321,شركة دي سي بي السعودية شركة شخص واحد,DCP saudi company one person company
322,شركة ديف للصناعات الدوائية ,Deef pharmaceutical co
323,شركة منتجات دلمون السعودية ,Delmon Products Saudi Limited
324,شركة ديلويت اند توش السعودية للاستشارات المحدودة,Deloitte & Touche Advisory  Saudi  ltd
325,شركة ديلويت للخدمات الاستشارية المالية المحدودة,Deloitte Financial Advisory Services
326,شركة دنتونز العربية للمحاماة,Dentons Arabia law
327,شركة تطوير المنتجعات الصحراوية,Desert Resort Development Company
328,شركة ديفوتيم السعودية المحدودة,DevoTeam Saudi Company Limited
329,شركة ضوابط التقنية للتجارة شركة مساهمة مقفلة,Dhouabet Tagna Litjara Charka Massahma Maqfila
330,شركة ديافيرم المتقدمة للخدمات الطبية  ,Diaverum Advanced for Medical Services Co
331,شركة ديافيرم العربية المحدودة ,Diaverum Arabia Co.ltd
332,شركة الخطوط المتنوعة لخدمات البترول,Diversified Lines for Petroleum Service
333,داو السعودية للمواد والعلوم المحدودة,Dow materials science Saudi Arabia limited
334,شركة مجمع عيادات الدكتور عبدالعزيز إبراهيم العجاجي لطب الأسنان,Dr.Abdulaziz AlAjaji Dental Polyclinic
335,شركة دراجر العربية,Draeger Arabia company
336,شركة مواني دبي العالمية الشرق الاوسط المحدودة ,Dubai Ports World Middle East Limited
337,دوبونت سبيشاليتي برودكتس المحدودة,DuPont Specialty Products LTD
338,شركة دور للضيافة,Dur Hospitality Co
339,شركه الايرادات للنقل,Earadat Transport Company
340,شركة ابتكار للتقنية المحدودة,Ebttikar Technology Co
341,شركة البيوت الأقتصادية,Economic homes company
342,افيشيوالسعودية المحدودة,Efficio Saudi Limited
343,شركة إي اف اس اي لإدارة المرافق,EFSIM Facilities Management Company
344,شركة إجادة للنظم المحدودة ,Ejada Systems Ltd
345,شركة إيلاف الفنادق المحدودة شركة شخص واحد,Elaf Hotels Company LimitedL
346,شركة إمداد الخبرات,Emdad Alkhebrat Company
347,بنك الأمارات دبي الوطني فرع المملكة العربية السعودية ,EmiratesNational Bank of Dubai (Emirates NBD)
348,شركة اندرس وهوسر العربية ال ال سي,Endress and Hauser Saudi Arabia
349,فرع الشركة الهندسية للصناعات البترولية والكيماوية (انبي),Engineering for the Petroleum & Process industries Branch (ENPPI)
350,شركة انجاز لخدمات المدفوعات,Enjaz payment services company
351,شركة اسناد الطرق للمقاولات العامة شركة,ESNAD Al Turuq General Contracting Company
352,شركة استي لودر السعودية المحدودة,Estee Lauder Companies Saudi Limited
353,شركة تمرس المحدودة,Expertise Contracting
354,شركة اي واي لخدمات الأعمال شركة مساهمة مقفلة,EY Business Services Closed Joint Stock Company
355,شركة إزدهار القابضة,Ezdihar Holding Company
356,شركة إزدهار للتطوير العقاري,Ezdihar real estate development company
357,شركة فالكم القابضة,FALCOM HOLDING COMPANY
358,شركة الفارابي للبتروكيماويات ,Farabi Petrochemicals Company
359,شركة فاروق ومامون تمر وشركاهما ,Farouk And Maamoun Tamer Company
360,شركة فاس للطاقة التجارية,FAS Energy trading company
361,فرع شركة فيلدكور سيرفس سوليوشنز انترناشونال ال ال سي,Fieldcore service solutions international llc
